timestamp_ms,sharpness,stability,passes,streak,command
598223318,962.3074090529768,2.2842057291666666,1,1,none
598223351,959.8892645427837,2.44828125,1,2,none
598223384,834.3656094705314,4.518958333333333,1,3,none
598223418,891.804662483733,3.548020833333333,1,4,none
598223451,926.692117726023,2.1633072916666665,1,5,none
598223484,937.4095967390718,2.7378645833333333,1,6,none
598223518,895.8866894908865,3.0984505208333335,1,7,none
598223551,849.3450349228893,4.2186067708333335,1,8,capture
598223584,359.98942340375095,8.957760416666666,0,0,finalize
598223618,243.2898978958953,19.064752604166667,0,0,none
598223651,220.23991753826039,20.39255208333333,0,0,none
598223684,232.8721511938388,16.06427083333333,0,0,none
598223718,113.44478488105396,17.123059895833332,0,0,none
598223751,161.63540586153977,12.015299479166666,0,0,none
598223784,76.69961786203393,12.188776041666667,0,0,none
598223818,61.88789260809344,18.560403645833333,0,0,none
598223851,60.152892459729266,21.953489583333333,0,0,none
598223884,94.14168907778385,21.934088541666668,0,0,none
598223918,129.93271516771642,15.783828125,0,0,none
598223951,122.81970545985794,16.586158854166666,0,0,none
598223984,88.79022681186618,23.540546875,0,0,none
598224018,78.42462523719098,27.074231770833332,0,0,none
598224051,70.33628902928974,28.2374609375,0,0,none
598224084,23.873704391395744,34.71201822916667,0,0,none
598224118,65.80073793804583,34.209401041666666,0,0,none
598224151,142.20838511030377,20.285247395833334,0,0,none
598224184,318.7412643562789,20.974361979166666,0,0,none
598224218,91.76737141833887,21.070442708333335,0,0,none
598224251,95.5545333265689,22.812864583333333,0,0,none
598224284,34.836793760216935,30.2236328125,0,0,none
598224318,26.273522809154375,29.17828125,0,0,none
598224351,25.279815583944437,25.9151953125,0,0,none
598224385,23.121691401974203,25.394192708333332,0,0,none
598224418,22.77121517308366,24.341653645833333,0,0,none
598224451,23.471372860077373,21.750208333333333,0,0,none
598224485,25.808058508446553,21.9987890625,0,0,none
598224518,29.217462879685552,21.0118359375,0,0,none
598224551,30.15765383960214,19.8234765625,0,0,none
598224585,31.290933031677408,22.649895833333332,0,0,none
598224618,36.94043436537809,17.5021875,0,0,none
598224651,24.526778199535354,17.7937109375,0,0,none
598224685,19.738904543277464,28.420026041666667,0,0,none
598224718,49.67698643739671,29.868854166666665,0,0,none
598224751,261.5355839127825,19.587825520833334,0,0,none
598224785,626.0596121183589,9.150091145833333,0,0,none
598224818,253.27988055925712,13.415481770833333,0,0,none
598224851,231.07953757784534,17.5194140625,0,0,none
598224885,143.1279367937711,18.1562109375,0,0,none
598224918,269.1601053037526,20.413723958333332,0,0,none
598224951,74.2729525409449,23.067317708333334,0,0,none
598224985,367.02933885635167,22.913489583333334,0,0,none
598225018,399.6659294817893,16.230234375,0,0,none
598225051,149.1544598997851,16.830338541666666,0,0,none
598225085,105.52488163872758,28.360065104166665,0,0,none
598225118,524.0174421257764,21.349401041666667,0,0,none
598225151,595.8055894545953,12.618763020833333,0,0,none
598225185,703.8322974468618,12.0946484375,0,0,none
598225218,652.9356671001001,12.812786458333333,0,0,none
598225251,611.7877086503564,12.524752604166666,0,0,none
598225285,545.3357112665811,13.697109375,0,0,none
598225318,623.2941353130507,14.715833333333334,0,0,none
598225351,655.0287926873679,14.4861328125,0,0,none
598225385,374.73306036530306,14.014791666666667,0,0,none
598225418,672.9419195670577,14.654609375,0,0,none
598225451,290.58781013434975,13.429778645833334,0,0,none
598225485,158.7700244176367,32.07240885416667,0,0,none
598225518,208.08946071448216,28.457747395833334,0,0,none
598225551,146.891063413408,25.957578125,0,0,none
598225585,48.07800828311277,33.81259114583333,0,0,none
598225618,49.82128339507576,37.92783854166667,0,0,none
598225651,146.86789553981848,31.169309895833333,0,0,none
598225685,71.41297277816327,30.987877604166666,0,0,none
598225718,57.047854590219785,33.946927083333335,0,0,none
598225751,97.68504730855967,31.831341145833335,0,0,none
598225785,137.95861667948787,25.445859375,0,0,none
598225818,172.85549790089638,22.755872395833332,0,0,none
598225851,246.3069185043188,17.955651041666666,0,0,none
598225885,173.03603034970752,17.667434895833335,0,0,none
598225918,218.02882735822115,17.193606770833334,0,0,none
598225951,357.45700091214144,15.965377604166667,0,0,none
598225985,407.68360188434195,12.687018229166666,0,0,none
598226018,436.94888541697475,12.7087109375,0,0,none
598226051,523.2697597671406,12.054205729166666,0,0,none
598226085,421.50636890133234,11.691822916666666,0,0,none
598226118,458.49895713665586,13.097278645833333,0,0,none
598226151,619.4713901369328,10.766927083333334,0,0,none
598226185,704.1370216021757,7.4868359375,0,0,none
598226218,636.810515320648,7.440182291666667,0,0,none
598226251,634.5875913260131,6.043997395833333,0,0,none
598226285,543.5791605418091,7.42375,0,0,none
598226318,466.4647585641311,9.993125,0,0,none
598226351,188.3026190156222,15.648359375,0,0,none
598226385,203.24412765738018,17.000494791666668,0,0,none
598226418,97.43823299777614,21.513138020833335,0,0,none
598226451,56.04200554358796,29.731640625,0,0,none
598226485,83.32666085284588,32.45819010416667,0,0,none
598226518,126.59225070395185,28.649309895833333,0,0,none
598226551,124.00133390511287,22.493854166666665,0,0,none
598226585,229.10095054065994,19.292955729166668,0,0,none
598226618,462.7036841680878,12.55,0,0,none
598226651,575.606760590547,10.034765625,0,0,none
598226685,486.65660619576295,10.709140625,0,0,none
598226718,352.2761244063028,13.899830729166666,0,0,none
