timestamp_ms,sharpness,stability,passes,streak,command
598196084,1091.2130448246562,1.8154427083333333,1,1,none
598196118,1094.6565209479947,0.7879427083333334,1,2,none
598196151,1097.6402611610401,1.2047916666666667,1,3,none
598196184,1101.4056161744954,0.8706119791666667,1,4,none
598196218,1101.716896563245,0.9372265625,1,5,none
598196251,1103.4788053074699,0.8924739583333333,1,6,none
598196284,1100.486702441571,1.1174348958333333,1,7,none
598196318,1098.282253899333,0.9545572916666667,1,8,capture
598196351,1096.3829055440924,0.8249479166666667,1,9,none
598196384,1096.3967937831983,0.8949479166666666,1,10,none
598196418,1086.6514093060352,0.8441927083333334,1,11,none
598196451,1086.6335663595883,1.2091666666666667,1,12,none
598196484,1084.8682551534005,0.9126432291666666,1,13,none
598196518,1086.6449954909542,0.8239192708333334,1,14,none
598196551,1086.9543952734907,0.8891015625,1,15,none
598196584,1096.5109146060367,0.9728125,1,16,none
598196618,1098.8554543834302,0.7642447916666667,1,17,none
598196651,1098.0438331530477,0.7411588541666667,1,18,none
598196684,1094.1321993668782,0.6010677083333333,1,19,none
598196718,1097.0509027028538,0.6970442708333333,1,20,capture
598196751,1104.5331190355578,0.9749739583333333,1,21,none
598196784,1111.5316204082342,0.7909114583333333,1,22,none
598196818,1114.207858249925,0.8223177083333333,1,23,none
598196851,1117.6265918318759,0.7544010416666667,1,24,none
598196884,1115.7170554957197,0.6669921875,1,25,none
598196918,1111.7648960831375,1.1105598958333334,1,26,none
598196951,1105.7632078288705,0.8762760416666666,1,27,none
598196984,1103.3003460774644,0.6410416666666666,1,28,none
598197018,1103.024850271955,0.7014453125,1,29,none
598197051,1106.0194363694354,0.7911588541666666,1,30,none
598197084,1104.9685828651957,0.6875390625,1,31,none
598197118,1114.5011206682884,0.6597916666666667,1,32,capture
598197151,1115.1346106630342,0.6387890625,1,33,none
598197184,1119.1522908739787,0.87140625,1,34,none
598197218,1115.280763574809,0.6016276041666667,1,35,none
598197251,1116.0996333621297,0.9641796875,1,36,none
598197284,1110.8346089556169,1.5676692708333333,1,37,none
